,lat,lng,address
30181,40.74790720968899,-74.03841152787209,07030
30213,40.724294,-74.035482,07302
30323,40.747907,-74.038411,07030
30745,40.747907,-74.038412,07030
33812,40.724294,-74.035483,07302
36951,40.725726,-74.071959,07306
36952,40.742677,-74.051788,07307
37075,40.742677141,-74.051788633,07307
37104,40.72572613742557,-74.07195925712585,07306
38116,40.742677,-74.051789,07307
40462,40.734785818,-74.050443636,07306
40463,40.71113,-74.0789,07305-9997
40472,40.721123,-74.03805,07302
40914,40.734785,-74.050443,07306
40990,40.723658,-74.064194,07306
40993,40.7236589,-74.0641943,07306
41008,40.714145,-74.033551,07302
41009,40.7141454,-74.0335519,07302
41014,40.727223,-74.033758,07310
41080,40.714145,-74.033552,07302
41177,40.722103786686034,-74.07145500183105,07304
41178,40.7272235,-74.0337589,07310
41182,40.722103,-74.071455,07304
41230,40.727224,-74.033759,07310
41255,40.75409,-74.0316,07030
41453,40.74590996631558,-74.0572714805603,07307
41466,40.745909,-74.057271,07307
41522,40.7287448,-74.0321082,07310
41523,40.728744,-74.032108,07310
41557,40.7211236,-74.03805095,07302
41619,40.72333158646436,-74.04595255851744,07302
41620,40.725339,-74.067622,07302:07306
41924,40.722104,-74.071455,07304
41988,40.723331,-74.045952,07302
42328,40.734786,-74.050444,07306
42504,40.728745,-74.032108,07310
42631,40.723332,-74.045953,07302
42636,40.7253399253558,-74.06762212514877,07302:07306
43497,40.721124,-74.038051,07302
43850,40.723659,-74.064194,07306
47211,40.72534,-74.067622,07302:07306
48093,40.74591,-74.057271,07307
50808,40.727551,-74.07106,07302:07306
50809,40.72755146730012,-74.07106071710587,07302:07306
54271,40.727551,-74.071061,07302:07306
56493,40.736982,-74.02778,07030-5774
56498,40.718355,-74.038914,07302-4522
56504,40.736982,-74.027781,07030-5774
56532,40.73698221818716,-74.02778059244156,07030-5774
56535,40.71835519823214,-74.03891444206238,07302-4522
57239,40.7127742,-74.0364857,07302
57302,40.712774,-74.036485,07302
57360,40.70657545063453,-74.0867006778717,07305
57887,40.712774,-74.036486,07302
58419,40.706575,-74.0867,07305
65009,40.74265933273143,-74.03223305940628,07030
65010,40.742659,-74.032233,07030
65011,40.712418,-74.038525,07302
65014,40.7124188237569,-74.03852552175522,07302
65043,40.712419,-74.038526,07302
68601,40.714584,-74.042817,07302-4522
